Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900 (ceBG)	HC2000 (Super-lineage)	HC2600	HC2850 (subsp.)
SAL_BA6133AA	OSF031120	SRR1995504;ILLUMINA;Paired;500;SRX1008539;237155400;225;NEW	SAL_BA6133AA	Poultry	Poultry	chicken	2014	4			North America	Canada	British Columbia						Enteritidis (Predicted)				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA186035	SRP018785	SAMN03464765	SRS921542	2015-08-27	2015-04-24	NaN	32875	32875	32875	32875	580	177	12	12	12	12	12	12	2	2
SAL_BA6599AA	SA19971529	SRR1976440;ILLUMINA;Paired;;SRX997355;374695784;236;NEW,SRR1976439;LS454;Single;;SRX997272;;;NEW	SAL_BA6599AA	Poultry	Poultry	Gallus gallus; carcass	1997	7			North America	Canada	New Brunswick						Muenchen (Predicted)	I			Laboratory for Foodborne Zoonoses			PRJNA177598	SRP057245	SAMN03487301	SRS911487	2015-08-27	2015-07-23	NaN	32490	32490	32490	32490	32490	557	49	49	49	49	49	22	2	2
SAL_BA6601AA	SA19950809	SRR1976296;ILLUMINA;Paired;;SRX997265;357625642;233;NEW,SRR1976295;LS454;Single;;SRX997264;;;NEW	SAL_BA6601AA				1995	5			North America	Canada	Ontario	Ottawa					Paratyphi A	I			Laboratory for Foodborne Zoonoses			PRJNA177592	SRP057242	SAMN03487300	SRS911485	2015-08-27	2015-07-23	NaN	32489	32489	32489	32489	32489	32489	15231	587	587	587	587	587	587	2
SAL_BA6670AA	SA20034532	SRR1976246;ILLUMINA;Paired;;SRX997208;359094060;234;NEW,SRR1976245;LS454;Single;;SRX997207;;;NEW	SAL_BA6670AA	Livestock	Swine	Sus scrofa; cecal content	2003	9			North America	Canada	Saskatchewan						Manhattan	I			Laboratory for Foodborne Zoonoses			PRJNA177571	SRP057236	SAMN03485843	SRS911436	2015-08-27	2015-07-23	NaN	32429	32429	32429	32429	32429	32429	22	22	22	22	22	22	2	2
SAL_BA6691AA	SA20030505	SRR1976227;ILLUMINA;Paired;;SRX997196;365291444;238;NEW,GCF_001448485;Complete Genome;;;;;;Complete Genome,SRR1976226;LS454;Single;;SRX997195;;;NEW	SAL_BA6691AA	Poultry	Poultry	Gallus gallus; cecal content	2002	11			North America	Canada	Ontario						Kentucky	I			Laboratory for Foodborne Zoonoses			PRJNA177315	SRP057235	SAMN03485833	SRS911425	2015-08-27	2015-07-23	NaN	106867	106867	106867	106867	32411	13695	15	15	15	15	15	15	15	2
SAL_BA7389AA	SA20026260	SRR1976185;LS454;Single;;SRX994703;;;NEW,SRR1976186;ILLUMINA;Paired;;SRX994768;261422376;237;NEW	SAL_BA7389AA	Livestock	Swine	Sus scrofa; cecal content	2002	10			North America	Canada	Ontario						Hadar (Predicted)	I			Laboratory for Foodborne Zoonoses			PRJNA177214	SRP057148	SAMN03470768	SRS909191	2015-08-27	2015-07-22	NaN	31883	31883	31883	31883	1088	159	159	159	159	159	159	17	2	2
SAL_BA7390AA	SA20063285	SRR2125160;ILLUMINA;Paired;;SRX994507;655394184;246;NEW,GCF_001448665;Complete Genome;;;;;;Complete Genome,SRR1976184;ILLUMINA;Paired;;SRX994507;;;NEW,SRR7504398;OXFORD_NANOPORE;Single;;SRX4373748;;;SRA,SRR1976183;LS454;Single;;SRX994477;;;NEW	SAL_BA7390AA	Wild Animal	ND/Others	Lacertilia; blood	2006	7	6		North America	Canada	Ontario						Gaminara	I			Laboratory for Foodborne Zoonoses			PRJNA177212	SRP057144	SAMN03470707	SRS908976	2015-08-27	2015-08-27	NaN	156256	156256	156256	31634	31634	13943	11436	11436	3955	3955	3955	468	2	2
SAL_BA7391AA	SA20103550	SRR1976182;ILLUMINA;Paired;;SRX994383;360649330;235;NEW,SRR1976181;LS454;Single;;SRX994317;;;NEW	SAL_BA7391AA	Poultry	Poultry	Gallus gallus	2010	8			North America	Canada	Ontario						Berta (Predicted)	I			Laboratory for Foodborne Zoonoses			PRJNA177210	SRP057138	SAMN03470706	SRS908795	2015-08-27	2015-07-22	NaN	31881	31881	31881	31881	125	125	125	125	125	125	125	125	2	2
SAL_BA7392AA	SA20093032	SRR1976179;LS454;Single;;SRX984344;;;NEW,SRR1976180;ILLUMINA;Paired;;SRX994291;360652150;235;NEW	SAL_BA7392AA	Livestock	Bovine	Bos taurus; lymph node	2009	7			North America	Canada	British Columbia						D	I			Laboratory for Foodborne Zoonoses			PRJNA177209	SRP057011	SAMN03468238	SRS898976	2015-08-27	2015-07-04	NaN	31880	31880	31880	31880	31880	31880	31880	25	25	25	25	12	2	2
SAL_BA8025AA	ATCC BAA-1673	SRR955219;LS454;Single;;SRX337775;;;NEW,GCF_000493295;Complete Genome;;;;;;Complete Genome	SAL_BA8025AA	Wild Animal	Reptile	iguana	1997				North America	Canada	Ontario						Poona	I			FDA/CFSAN			PRJNA78387	SRP029062	SAMN01805328	SRS472180	2015-08-27	2013-09-03	NaN	106874	106874	106874	106874	106874	106874	12431	12431	4796	4796	4796	19	2	2
